area,date,value
Pokój,2025-10-01,0.0
Kuchnia,2025-10-01,0.0
Biuro,2025-10-01,0.0
Pokój,2025-10-15,74.0
Kuchnia,2025-10-15,70.0
Biuro,2025-10-15,21.0
Pokój,2025-10-10,57.0
Kuchnia,2025-10-10,51.0
Biuro,2025-10-10,20.0
Pokój,2025-10-13,66.0
Kuchnia,2025-10-13,61.0
Biuro,2025-10-13,21.0
Pokój,2025-10-17,81.0
Kuchnia,2025-10-17,74.0
Biuro,2025-10-17,22.0
Pokój,2025-10-20,86.0
Kuchnia,2025-10-20,76.0
Biuro,2025-10-20,22.0
Pokój,2025-10-22,91.0
Kuchnia,2025-10-22,78.0
Biuro,2025-10-22,22.0
Pokój,2025-10-25,91.0
Kuchnia,2025-10-25,78.0
Biuro,2025-10-25,22.0
Pokój,2025-10-27,101.0
Kuchnia,2025-10-27,88.0
Biuro,2025-10-27,23.0
